event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX gets back home,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none""]","[""thankful"", ""tired"", ""relaxed"", ""reliable"", ""drab""]","[""can take rest"", ""can enjoy the evening with family"", ""He can relax and sleep in his own bed that night."", ""He's presumably safe."", ""the person can relax"", ""the person can get things done around the house""]","[""to be home"", ""to be safe""]","[""drive home"", ""head home"", ""to leave home"", ""to start to return home"", ""drive home"", ""hail a taxi"", ""call an uber""]","[""safe"", ""confident""]","[""to eat a meal"", ""to shower and change"", ""to go inside"", ""to cook dinner""]","[""gets"", ""back""]",trn
PersonX gets back in the car,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""roving"", ""timid"", ""calm"", ""excited"", ""angry"", ""excited""]","[""Drives away"", ""Goes to sleep"", ""drives away"", ""gets driven somewhere"", ""stays safe after the accident"", ""warms up""]","[""to go home"", ""to go somewhere""]","[""to unlock the door"", ""to open the door"", ""to of been in the car"", ""to of gotten out of it"", ""to get out of the car"", ""to open the car door"", ""to go to the car""]","[""fulfilled"", ""satisified"", ""ready to go some place""]","[""to save himself from heat"", ""to go home"", ""to drive home."", ""to go to work on time."", ""to shut the door"", ""to start the car""]","[""gets"", ""back""]",trn
PersonX gets back on the horse that bucked you,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""to gallop their own horse onward"", ""to get to where they need to go"", ""to tell PersonX to be careful"", ""to walk back"", ""to see them do well"", ""to say they did good""]","[""steadfast"", ""determined"", ""Persistent"", ""Steadfast"", ""forgiving"", ""kind""]","[""PersonX puffs their chest feeling emboldened"", ""PersonX smiles"", ""PersonX sweats from nervousness"", ""PersonX perseveres despite the odds"", ""PersonX gets bucked off"", ""reaches his destination"", ""gets stronger""]","[""to try again."", ""to stay in competition."", ""not to give up"", ""get back on the horse""]","[""to assess the situation"", ""to grab the horse by the saddle"", ""to know how to ride a horse"", ""to not be scared of getting hurt"", ""to of fallen down"", ""to of dusted themself off""]","[""eager."", ""determined"", ""proud""]","[""to gallop the horse onward"", ""to get to where they need to go"", ""to train the horse"", ""to ride the horse all the way to the farm"", ""to get back at it"", ""to finish the best they can""]","[""gets"", ""back""]",trn
PersonX gets back on track,"[""none"", ""none"", ""none""]","[""good""]","[""none"", ""none"", ""none""]","[""focused"", ""trained"", ""Refreshed"", ""Renewed"", ""responsible"", ""focused""]","[""PersonX doesn't falter"", ""PersonX is unphased"", ""walks straight line"", ""gets tired"", ""gains skill"", ""resolves problems""]","[""to improve their life""]","[""to have a plan."", ""to have action."", ""to have gotten off track"", ""develop plans to get on track"", ""to shake it off"", ""to get in line""]","[""good""]","[""to improve."", ""to get healthy."", ""reach the goal"", ""stay focused"", ""to build back"", ""to restore""]","[""gets"", ""back""]",trn
PersonX gets back to PersonY,"[""receives necessary information"", ""becomes informed""]","[""relieved"", ""none""]","[""to talk"", ""to ask for money"", ""to receive the information"", ""to talk to PersonX""]","[""reliable"", ""committed"", ""cunning"", ""treacherous"", ""helpful"", ""friendly"", ""responsive"", ""polite""]","[""met PersonY's expectation"", ""his to do list is shorter""]","[""to talk to the person"", ""to be get back""]","[""to get person y's contact info"", ""to grab his phone"", ""to call PersonY"", ""to email PersonY""]","[""complete"", ""happy""]","[""to shoot the shit"", ""to have a conversation"", ""to talk to PersonY"", ""to give PersonY information""]","[""gets"", ""back""]",trn
PersonX gets back to normal,"[""none"", ""none"", ""none""]","[""none"", ""relieved"", ""happy"", ""optimistic""]","[""none"", ""To be able to rely on X again"", ""X to be happy"", ""to welcome X back"", ""to go out with X to celebrate"", ""none""]","[""strong"", ""flexible"", ""resilient"", ""strong"", ""recovering"", ""healthy""]","[""Person X can sleep all night."", ""Person X is calm."", ""starts going out with friends"", ""stops taking medication"", ""gets back in routine"", ""sighs in relief""]","[""to get a routine going"", ""none""]","[""to be sick"", ""to be moody"", ""Get counseling"", ""Get healthy"", ""none"", ""to of been burdened"", ""to get better from it""]","[""regulated"", ""healthy"", ""confident"", ""relaxed""]","[""to get back to work"", ""to continue with their daily routine"", ""To life their life as it was"", ""Good health"", ""to post on fb that she is back to normal"", ""contact friends to say she is back to her routine"", ""to stay that way"", ""to get into an even better situation""]","[""gets"", ""back""]",trn
PersonX gets back to school,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""to make sure they do their best"", ""to see them succeed in life""]","[""determined"", ""organized"", ""prepared"", ""smart"", ""hopeful"", ""apprehensive""]","[""gets a pop quiz"", ""gets lost on campus"", ""becomes educated"", ""better job"", ""attends classes"", ""gets homework assignments""]","[""to be present"", ""not be absent""]","[""to get dressed"", ""to drive to school"", ""for school of to been out"", ""to have to go another year""]","[""learned"", ""accomplished""]","[""to study"", ""to go to class"", ""to get good grades"", ""to graduate""]","[""gets"", ""back""]",trn
PersonX gets back to sleep,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""tired"", ""lazy"", ""tired"", ""relaxed""]","[""Becomes well rested"", ""Starts to dream"", ""take rest"", ""very tried"", ""Wake up"", ""Take shower""]","[""rest"", ""relax"", ""gain energy"", ""none"", ""rest""]","[""to of gone to bed"", ""to of woken up"", ""to lie down in bed"", ""to shut their eyes""]","[""energized"", ""calm"", ""relaxed"", ""rested"", ""grateful"", ""rested""]","[""to dream"", ""to wake up in the morning"", ""to wake up on time"", ""to pull the covers up""]","[""gets"", ""back""]",trn
PersonX gets back to the hotel,"[""none"", ""none"", ""none""]","[""none"", ""happy that x smells good"", ""none""]","[""none""]","[""relaxed"", ""content"", ""tired"", ""worn out"", ""motivated"", ""reliable"", ""responsible"", ""sure of themselves""]","[""needs a rest"", ""has to use the hotel key"", ""none"", ""gets welcomed"", ""gets given a key""]","[""none"", ""to take a shower"", ""to go to bed""]","[""to have gone sight seeing"", ""to have stayed at the hotel""]","[""ready for bed"", ""clean and fresh"", ""rested""]","[""to go swim in the pool"", ""to use the gym""]","[""gets"", ""back""]",trn
PersonX gets back to work,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to supervise PersonX"", ""to reward PersonX"", ""none""]","[""hardworking"", ""dedicated"", ""productive"", ""hard-working"", ""hardworking"", ""industrious"", ""productive"", ""active""]","[""Ignores outside distractions"", ""Brain focuses"", ""gets a pay raise"", ""is evaluated by their boss""]","[""to get something he forgot"", ""to get started on their job"", ""to take care of things"", ""to reach his goals.""]","[""none"", ""to take a break"", ""to set a timer"", ""realize they are wasting time"", ""heads to their desk""]","[""worried"", ""accomplished"", ""accomplished.""]","[""to finish up and go home"", ""to deposit their paycheck"", ""to do a good job"", ""to finish the work day"", ""pick up the pace"", ""avoid distractions""]","[""gets"", ""back""]",trn
PersonX gets back together,"[""none"", ""none""]","[""happy"", ""frustrated as well.""]","[""to accept."", ""to decline."", ""none"", ""to be happy again"", ""to make their ex happy""]","[""happy"", ""glad"", ""friendly"", ""decisive""]","[""Person x smiles"", ""Person x is grateful"", ""goes on a date"", ""talks to partner""]","[""happy"", ""thrilled"", ""to make more money on tour.""]","[""to break up."", ""to have a friend."", ""lose something"", ""reorganize"", ""to pick up the phone"", ""to call their ex""]","[""fulfilled"", ""frustrated cause they remember why they broke up in the first place.""]","[""to have their spouse back."", ""to have a partner."", ""feel content"", ""take a picture"", ""to be happy again"", ""to make their ex happy""]","[""gets"", ""back""]",trn
PersonX gets bad,"[""none"", ""none"", ""Don't want to be around PersonX"", ""May be corrupted by PersonX""]","[""like they have to deal with his poor nature""]","[""unavoidable accidents happen to all of us sometimes"", ""People with perpetual attitude problems are no fun to be around""]","[""irresponsible"", ""incompetent"", ""negative"", ""pessimistic"", ""devolving"", ""pessimistic""]","[""goes to the doctor"", ""gets worse"", ""thinking guilty"", ""improve our self"", ""Punished"", ""Disapproved of""]","[""to express his angst""]","[""Because of association with certain persons or organisations run by them"", ""Indigenous cultures respect the energy of the eyes.""]","[""in control of his life""]","[""look back at your actions and see what you can do (if anything) to improve your performances"", ""Seek out those who share your positive attitude.""]","[""gets"", ""bad""]",trn
PersonX gets bad grades,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""to show him what he can do to improve"", ""to call his parents""]","[""irresponsible"", ""immature"", ""dumb"", ""lazy"", ""ashamed"", ""regretful"", ""lazy"", ""apathetic""]","[""loses summer to school"", ""takes longer to graduate"", ""fails a class"", ""fails to get a good job"", ""cries"", ""gets scolded by their parents""]","[""none"", ""to not care about school""]","[""to not study"", ""to not pay attention"", ""none"", ""to attend school"", ""to perform poorly on exams""]","[""disappointed"", ""sad"", ""very disappointed, sad""]","[""To improve"", ""To get better"", ""to consult with the teacher"", ""to study more""]","[""gets"", ""bad""]",trn
PersonX gets bad news,"[""none"", ""none"", ""none""]","[""none"", ""sad"", ""sorry""]","[""to console PersonX"", ""to leave PersonX alone"", ""none"", ""none""]","[""well informed"", ""unfortunate"", ""pessimistic"", ""Devastated"", ""Down"", ""scared"", ""worried""]","[""frowns"", ""sits down"", ""none"", ""sits down"", ""cries""]","[""none"", ""none""]","[""none"", ""take the mobile"", ""talk on mobile"", ""none""]","[""bad"", ""upset"", ""sad"", ""scared""]","[""to remedy the situation"", ""to cry"", ""talks with family"", ""try to be calm"", ""to cry"", ""to tell his family members""]","[""gets"", ""bad""]",trn
PersonX gets beat up,"[""PersonY goes to jail"", ""breaks hand"", ""They run away."", ""They get arrested by the police."", ""Runs away"", ""get arrested""]","[""none"", ""none""]","[""deal with the police"", ""get a lawyer"", ""run away"", ""laugh at PersonX"", ""none""]","[""weak"", ""hurt"", ""injured"", ""hurt"", ""damaged"", ""pained"", ""annoying"", ""weak""]","[""has a cut"", ""hurts"", ""He cries out for help."", ""He runs away,"", ""He stays where he his."", ""cries"", ""concussion""]","[""none"", ""none""]","[""none"", ""none"", ""to get someone upset"", ""to get in a fight""]","[""scared"", ""violated"", ""angry"", ""hurt""]","[""to get help"", ""talk to the police"", ""cry"", ""fight back"", ""to run away from them"", ""to treat their wounds""]","[""gets"", ""beat""]",trn
PersonX gets beer,"[""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""thirsty"", ""considerate"", ""bored"", ""unemployed"", ""fun loving"", ""carefree""]","[""Gets intoxicated"", ""Has a hangover tomorrow""]","[""to drink alcohol"", ""to enjoy self"", ""to get drunk"", ""to drink it""]","[""to go to the liquor store"", ""to go to the bar"", ""to go to a restaurant"", ""none"", ""to earn money"", ""to have money""]","[""satisfied"", ""happy"", ""tipsy"", ""happy""]","[""to order some food"", ""to get beer for everybody"", ""to relax"", ""to enjoy a drink"", ""to get drunk"", ""to party""]","[""gets"", ""beer""]",tst
PersonX gets behind PersonY,"[""none"", ""none"", ""surprised"", ""scared""]","[""none"", ""grateful."", ""none""]","[""none"", ""to support him"", ""to help him"", ""none"", ""to run away"", ""give a hug in return"", ""slap rabbit ears away"", ""to put away book"", ""none"", ""none""]","[""scared"", ""afraid"", ""supportive"", ""consrtuctive"", ""Shy"", ""Cowardly"", ""unmeasured"", ""mysterious""]","[""none"", ""personX is able to see persony from behind"", ""personx 's view is blocked by persony"", ""none""]","[""to get in line for tickets"", ""to support y."", ""to stand in line""]","[""none"", ""to go near him"", ""to approach him"", ""to accompany person Y"", ""to have obedience"", ""none""]","[""impatient"", ""bored"", ""indebted."", ""bored""]","[""to walk faster"", ""to catch up with person Y"", ""to escape the police"", ""to get away from the eyes of the police"", ""to safeguard himself behind person Y"", ""to take shield using person Y"", ""to steal their wallet"", ""to give them a hug"", ""to make rabbit ears"", ""to read over their shoulder"", ""to hide himself"", ""to avoid his enemy"", ""to be next in line"", ""to pay for what he bought""]","[""gets"", ""behind""]",dev
PersonX gets behind the wheel,"[""Person Y waves hello from her car."", ""She slows down to let Person X into her lane."", ""none""]","[""none"", ""none""]","[""none"", ""Be careful on the road"", ""ask for a ride someplace"", ""none""]","[""nervous"", ""determined"", ""confident"", ""independent"", ""confident"", ""attentive""]","[""She turns the ignition."", ""She drives down the street."", ""drives to their destination"", ""races around a track""]","[""to get to work"", ""to drive""]","[""to get dressed"", ""to open the door"", ""Have a permit to drive"", ""have a driver's license"", ""to know what they are doing"", ""to relax""]","[""exhausted"", ""mobile""]","[""to turn on the car"", ""to drive away"", ""to drive to a location"", ""to pick up a friend"", ""to be successful"", ""to drive""]","[""gets"", ""behind""]",dev
PersonX gets bent out of shape,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""to see what's the matter"", ""to help them cheer up"", ""none"", ""none""]","[""touchy"", ""sensitive"", ""angry"", ""bitter"", ""Impudent"", ""Rude""]","[""runs out of breath"", ""is in pain"", ""internal organs get affected"", ""life expectancy is reduced"", ""PersonX cringes in stomach pain"", ""PersonX sweats from anger""]","[""none"", ""none""]","[""to have something happen"", ""to over react to it"", ""none"", ""hear something mean"", ""approach someone""]","[""mad"", ""upset"", ""angry"", ""irritated""]","[""to calm down"", ""to feel better"", ""to express unhappiness"", ""to argue"", ""yell"", ""confront""]","[""gets"", ""bent""]",trn
PersonX gets better,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""to see how good PersonX is"", ""to congratulate them on working hard"", ""none"", ""none""]","[""glad"", ""relieved"", ""Determined"", ""Perseverance"", ""Motivated"", ""Committed""]","[""goes back to work"", ""goes back to school"", ""Person X goes back to work."", ""Person X leaves the hospital."", ""becomes energized"", ""not required to take medication any longer""]","[""none"", ""none"", ""none""]","[""to follow a training program"", ""to consistently train every day"", ""none"", ""to pratice"", ""try to improve""]","[""content"", ""happy"", ""excited"", ""accomplished""]","[""to see how good they are"", ""to benefit from their skills"", ""go back to work"", ""catch up on tasks"", ""to use new skills"", ""help other people learn""]","[""gets"", ""better""]",trn
PersonX gets better ___,"[""none"", ""they facilitate his learning"", ""they watch him grow""]","[""none"", ""none""]","[""none"", ""none""]","[""capable"", ""committed"", ""mature"", ""responsible"", ""determined"", ""hard working""]","[""none"", ""he shows off his grades"", ""he is encouraged to do more""]","[""to learn typing for his exam"", ""to do better""]","[""to practice"", ""works longer"", ""none""]","[""confident"", ""accomplished""]","[""to wear medal"", ""to raise hands in success"", ""to recover"", ""to get back to work""]","[""gets"", ""better""]",trn
PersonX gets better and better,"[""none"", ""none"", ""none""]","[""if its family they definitely feel proud"", ""none""]","[""to be competitive"", ""to win the competition"", ""none"", ""none""]","[""talented"", ""skilled"", ""improving"", ""skillful"", ""consistent"", ""disciplined""]","[""gains new knowledges"", ""gains experience"", ""gets confident"", ""gets tired"", ""takes on challenges"", ""is sought after""]","[""to grow in life."", ""to improve him or herself""]","[""to train hard"", ""to train consistently"", ""practises"", ""begins a new hobby"", ""practice"", ""take lessons""]","[""satisfied in life once be become better everyday"", ""elated""]","[""to be competitive"", ""to win the competition"", ""to be a professional"", ""becomes a master"", ""to audition for the musical"", ""to compete in the track meet""]","[""gets"", ""better""]",trn
PersonX gets better grades,"[""none"", ""they tell them they did well"", ""they help them more with school""]","[""happy"", ""joyful"", ""none"", ""proud""]","[""none"", ""to help PersonX succeed in school"", ""to help PersonX learn the material better"", ""none""]","[""disciplined"", ""smart"", ""intelligent"", ""devoted"", ""studious"", ""learned""]","[""go fast"", ""come good"", ""is rewarded"", ""tries even more""]","[""to have better grades"", ""to be rewarded for better grades"", ""a good gpa"", ""to succeed in school""]","[""to study"", ""to do well on exams"", ""to study the material more"", ""to get tutored in the subjects"", ""to study hard"", ""to finish homework""]","[""happy"", ""excited"", ""excited"", ""proud""]","[""to celebrate the achievement"", ""to tell others about getting good grades"", ""to pass school courses"", ""to graduate school"", ""to apply for college."", ""to celebrate.""]","[""gets"", ""better""]",trn
PersonX gets better soon,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""to welcome PersonX back"", ""to ask how PersonX is doing""]","[""healed"", ""healthy"", ""healthy"", ""recovered"", ""Healthy"", ""Hale""]","[""none"", ""Body becomes energetic"", ""State of mind becomes positive"", ""Their fever goes away"", ""Their pain goes away""]","[""none"", ""none""]","[""to go to the doctor"", ""to take their medicine"", ""none"", ""to go to bed"", ""to take a rest""]","[""happy"", ""healed""]","[""to go out to play"", ""to swing"", ""to rest"", ""eat healthier food"", ""to go back to work"", ""to earn some money""]","[""gets"", ""better""]",trn
PersonX gets bigger,"[""none""]","[""none""]","[""to see PersonX's muscles"", ""to congratulate PersonX"", ""to encourage PersonX to grow"", ""to give PersonX more responsibilities"", ""none""]","[""healthy"", ""growing"", ""fat"", ""lazy"", ""amazed"", ""shocked""]","[""take into house"", ""roll it""]","[""to lose weight""]","[""to train hard"", ""to eat protein"", ""none"", ""to buy more food"", ""to eat more food""]","[""fat"", ""ashamed""]","[""to show off their muscles"", ""to rest"", ""to become more responsible"", ""to eat healthy"", ""to lose weight"", ""to go on a diet""]","[""gets"", ""bigger""]",trn
PersonX gets bit,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""tasty"", ""attractive"", ""curious"", ""decisive"", ""hurt"", ""in pain"", ""upset"", ""scared""]","[""person x checks bite"", ""person x calls 911"", ""needs medicine"", ""has a bug bite""]","[""none"", ""none"", ""none""]","[""to be outside"", ""to be near a bug"", ""none""]","[""hurt"", ""painful"", ""frusterated"", ""uncomfortable"", ""like they're in pain""]","[""to go inside"", ""to put medicine on the bite"", ""to put on a bandaid on"", ""to clean out the wound""]","[""gets"", ""bit""]",trn
PersonX gets bitten,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""hurt"", ""careless"", ""Careless"", ""Clumsy"", ""clumsy"", ""careless""]","[""bleeds"", ""goes to hospital"", ""infection"", ""hospitalized""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""sore."", ""like they're in pain"", ""pain"", ""hurt"", ""anger""]","[""to go see a doctor"", ""to treat the wound"", ""go to the doctor"", ""run away"", ""to put ointment on"", ""to itch a spot""]","[""gets"", ""bitten""]",trn
PersonX gets blood from a stone,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""to help him"", ""to take him to the doctor"", ""none"", ""none""]","[""skillful"", ""hurt"", ""creative"", ""committed"", ""diligent"", ""cruel""]","[""gets nervous"", ""gets scared"", ""gets dirty"", ""frowns in from being surprised"", ""hands nervously sweat"", ""is queasy to see blood"", ""picks up the stone"", ""gags""]","[""to seal the deal"", ""to do sacrificial offerings""]","[""to dash against it"", ""to slip over it"", ""get stoe"", ""have magical powers"", ""to be a miracle worker"", ""to work on the stone""]","[""succesful"", ""strange""]","[""to wipe it away"", ""to apply medicine"", ""store blood"", ""tell the world"", ""to celebrate"", ""to use the blood""]","[""gets"", ""blood""]",trn
PersonX gets blood out of a stone,"[""none"", ""none"", ""none""]","[""none""]","[""to be stubborn"", ""to keep secret"", ""none"", ""none"", ""to figure out what Person X knows."", ""to be like person X.""]","[""magic"", ""wizardly"", ""convincing"", ""resourceful"", ""strong"", ""stubborn""]","[""none"", ""have a sad feel"", ""aversed"", ""none""]","[""to extract information.""]","[""none"", ""to smash the stone"", ""to wash the stone"", ""to find a stone"", ""to take a strong decision"", ""to work really hard"", ""to create relationships with people."", ""to learn negotiating skills.""]","[""relieved.""]","[""to get the information from the criminal"", ""to get a clue about the murderer"", ""to wash their hands"", ""to clean up the mess"", ""to tell others about his success"", ""to strive to try the same way in future too."", ""to rejoice."", ""to tell people how he did it.""]","[""gets"", ""blood""]",trn
PersonX gets bored,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""lazy"", ""unmotivated"", ""idle"", ""empty"", ""not entertained"", ""unorginal""]","[""Plays games"", ""Goes to sleep"", ""sighs"", ""loses patience""]","[""none"", ""none""]","[""none"", ""none""]","[""annoyed"", ""lethargic""]","[""to do something new"", ""to go out and have fun"", ""look for activity to do"", ""take a nap""]","[""gets"", ""bored""]",trn
PersonX gets braces,"[""none"", ""none"", ""none""]","[""happy."", ""none"", ""none""]","[""orthodonist wants check ups on braces"", ""person x mom reminds to take care of braces."", ""none"", ""none""]","[""responsible"", ""mature"", ""active"", ""conscious"", ""focused"", ""young""]","[""goes in for check up"", ""gets straight teeth"", ""food gets stuck in braces"", ""smile becomes straighter"", ""Teeth be ome straighter"", ""Teeth move"", ""Teeth become more difficult to care for""]","[""to have nice teeth."", ""straight teeth"", ""to feel attractive"", ""none""]","[""goes to orthodontist"", ""orthodontist determines needs braces"", ""find out the cost"", ""see a dentist"", ""to make an appointment"", ""to go to the orthodontist""]","[""happy."", ""self-conscious"", ""pained"", ""sore"", ""annoyed"", ""anxious""]","[""take care of braces"", ""show people his new braces"", ""keep braces clean"", ""maintain good health"", ""visit dentist for check up"", ""to keep them clean"", ""to brush teeth""]","[""gets"", ""braces""]",trn
PersonX gets bullied,"[""none"", ""none""]","[""angry"", ""strong"", ""ashamed"", ""embarrassed"", ""spiteful""]","[""to see if they are ok"", ""to make it stop""]","[""sad"", ""lonely"", ""weak"", ""nerdy"", ""dorky"", ""small"", ""weak""]","[""becomes strong emotionally"", ""has resentment"", ""cries"", ""gets bruised""]","[""none"", ""none""]","[""none""]","[""sad"", ""weak"", ""scared"", ""threatened"", ""scared""]","[""to get people to stop"", ""to not bully others""]","[""gets"", ""bullied""]",trn
PersonX gets burned,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""give medical treatment"", ""apply cool water"", ""take to hospital"", ""get bandage""]","[""regretful"", ""pained"", ""injured"", ""hurt""]","[""has pain"", ""burned area blisters"", ""applies ointment"", ""seeks medical attention"", ""has a scar""]","[""none"", ""none""]","[""to be near something hot."", ""needs to touch something hot."", ""touches flame"", ""drinks hot liquid"", ""eats hot food"", ""touches hot surface""]","[""pain."", ""shocked"", ""hurt""]","[""to put on medicine."", ""to go to the doctor."", ""to scream"", ""get ice"", ""call fire department"", ""get medical help""]","[""gets"", ""burned""]",tst
PersonX gets burnt,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""pained"", ""uncomfortable"", ""scared"", ""hurt"", ""hurt"", ""frustrated""]","[""skin dies"", ""nerves die"", ""might have to visit a doctor."", ""must spend time, money, and energy to treat the burn."", ""has an injury"", ""needs to get medical care""]","[""none"", ""none"", ""none""]","[""to cook food"", ""to turn on the hot water"", ""to be near fire"", ""to touch it"", ""to be near heat"", ""to touch a hot item""]","[""hurt"", ""hurt"", ""upset because of pain""]","[""to seek medical help"", ""to heal"", ""to go to hospital"", ""to get treatment at home""]","[""gets"", ""burnt""]",trn
PersonX gets busy,"[""none"", ""none"", ""none""]","[""none"", ""also satisfied"", ""none""]","[""none"", ""none"", ""none""]","[""fastly"", ""immediately"", ""determined"", ""industrious"", ""hard-working"", ""dedicated""]","[""personx feels stressed"", ""personx learns time management"", ""loses track of time"", ""collapses"", ""becomes restless"", ""gets less time to sleep.""]","[""none"", ""some action."", ""to finish a task""]","[""none"", ""to have a job"", ""to fall behind in his work"", ""none""]","[""like a boss"", ""satisfied"", ""useful""]","[""to relax after being busy"", ""to feel good about what was accomplished"", ""to complete his work on time"", ""to make his boss happpy"", ""find time to relax"", ""plan a schedule""]","[""gets"", ""busy""]",trn
PersonX gets calls,"[""none"", ""none"", ""none""]","[""none"", ""like communicating with him"", ""none""]","[""none"", ""none"", ""to buy it"", ""make an offer""]","[""popular"", ""busy"", ""outstanding"", ""busy"", ""popular"", ""important""]","[""goes over their minutes on the phone"", ""blocks calls"", ""answers phone"", ""personX must answer them"", ""personX has a conversation"", ""gets yelled at"", ""screams""]","[""none"", ""none"", ""none""]","[""sitting watching"", ""looks at the mobile"", ""none"", ""a phone"", ""post somethng for sale""]","[""wanted"", ""like he has conversations to attend to"", ""busy""]","[""have a talk"", ""keeps the mobile"", ""to talk"", ""to return calls"", ""to make money"", ""find out who is calling""]","[""gets"", ""calls""]",trn
PersonX gets cancer,"[""none"", ""none"", ""none""]","[""none"", ""sad"", ""scared"", ""sorrow"", ""compassion""]","[""none"", ""supports person x"", ""comforts person x"", ""none""]","[""unwell"", ""afflicted"", ""afraid"", ""scared"", ""Ill"", ""Sick""]","[""goes to treatment"", ""prays"", ""PersonX dies slowly"", ""gets chemotherapy treatments"", ""chemo, surgery, remission"", ""death""]","[""none"", ""none"", ""none""]","[""drink liquor"", ""smoke cigar"", ""smokes cigarettes"", ""goes to tanning bed"", ""has a bad diet"", ""to get sick"", ""to find out what's wrong""]","[""sad"", ""devistated"", ""terrified"", ""drained"", ""sick"", ""scared"", ""worried""]","[""receive treatment"", ""stop the addiction"", ""to live a long life"", ""to get better"", ""be around family"", ""go to the hospital"", ""to start chemotherapy""]","[""gets"", ""cancer""]",dev
PersonX gets candy,"[""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""lucky"", ""thrilled"", ""gluttonous"", ""relaxed"", ""greedy"", ""fat""]","[""smiles"", ""has something sweet""]","[""to satisfy sweet tooth"", ""eat candy.""]","[""put on his Halloween costume"", ""ring neighbors' doors"", ""to have money"", ""to make candy"", ""to go to the store"", ""to pay the cashier""]","[""happy"", ""on a sugar-high"", ""happy"", ""satisified""]","[""to eat his favorite candies"", ""to put them away"", ""to satisfy their sweet tooth"", ""to get some sugar intake"", ""to eat it"", ""to share it with a friend""]","[""gets"", ""candy""]",trn
PersonX gets carried away,"[""none"", ""Tenses up"", ""Gets nervous aournd X""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""impetuous"", ""manic"", ""passionate"", ""flamboyant""]","[""yelled at"", ""hurt"", ""Heart is racing"", ""Must be restrained""]","[""none"", ""none""]","[""to have been doing something exciting"", ""to be in a bar drinking"", ""none"", ""start something"", ""lose track""]","[""like he went too far."", ""intoxicated with joy.""]","[""to leave the casino"", ""to ask someone to take them home"", ""to be immersed in something"", ""to continue"", ""apologize"", ""explain""]","[""gets"", ""carried""]",trn
PersonX gets cash,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""greedy"", ""prepared"", ""Rich"", ""Scheming"", ""rich"", ""successful"", ""hard working""]","[""Smiles"", ""Attracts unwanted attention"", ""smiles"", ""pays taxes""]","[""to pay his bills"", ""to have money"", ""to buy things""]","[""go to ATM"", ""enter PIN"", ""enter amount"", ""to go to bank"", ""to pull money from the ATM"", ""drive to bank"", ""use ATM""]","[""rich"", ""happy"", ""content""]","[""take the cash out of dispenser"", ""count it"", ""to protect the money"", ""to purchase a TV"", ""go to store"", ""buy groceries"", ""buy clothing"", ""pay bills""]","[""gets"", ""cash""]",trn
PersonX gets caught,"[""none"", ""none"", ""none""]","[""mad"", ""ashamed and felt bad"", ""re leaved""]","[""none"", ""none"", ""none""]","[""careless"", ""foolish"", ""unlucky"", ""careless"", ""guilty"", ""apologetic"", ""crooked""]","[""SECQURITY"", ""SEFITY"", ""carefull"", ""honest"", ""goes to jail"", ""gets yelled at""]","[""none"", ""to steal a gold chain"", ""none""]","[""none"", ""to have stolen something"", ""to have beaten someone"", ""none""]","[""scared"", ""embarrassed"", ""ashamed and depressed"", ""surprised""]","[""to change his behavior."", ""to plead guilty."", ""to plead guilty"", ""to be released as he explains the reason of his crime"", ""to run away"", ""to hide somewhere""]","[""gets"", ""caught""]",trn
