event,crime_category,crime_subcategory,brief_context,xIntent,xNeed,xAttr,xEffect,xReact,xWant,oEffect,oReact,oWant,isAfter,HasSubEvent,isBefore,HinderedBy,Causes,xReason,isFilledBy
PersonX orders take out,Financial Crimes,Money Laundering,"PersonX uses the restaurant's takeout service as a front for a money laundering operation, placing large, frequent orders with illicit cash to integrate it into the legitimate economy.","[""to disguise the origin of illicit funds"", ""to integrate dirty money into a legitimate business"", ""to create a false paper trail of income""]","[""control of or collusion with the restaurant"", ""to create fake invoices or receipts""]","[""deceptive"", ""calculating"", ""financially motivated"", ""organized""]","[""illicit funds appear legitimate"", ""PersonX increases their spendable wealth"", ""PersonX risks financial investigation""]","[""satisfaction at evading detection"", ""anxiety about being caught"", ""greed for more profit""]","[""to continue the laundering scheme"", ""to expand the operation to other fronts"", ""to destroy incriminating records""]","[""the legitimate financial system is corrupted"", ""the restaurant may face charges as an accomplice"", ""law enforcement resources are diverted""]","[""suspicion if the orders seem unusual"", ""complicity if aware of the scheme"", ""confusion if unaware""]","[""to report suspicious activity"", ""to cooperate with an investigation"", ""to sever ties with PersonX""]","[""PersonX receives a large sum from drug sales"", ""PersonX establishes a relationship with the restaurant owner"", ""PersonX sets up the laundering method""]","[""PersonX calls the restaurant"", ""PersonX places an order for a large, expensive meal""]","[""the restaurant deposits the cash"", ""PersonX files fraudulent tax returns"", ""financial regulators notice anomalies""]","[""the restaurant refuses large cash payments"", ""bank reports the transaction as suspicious"", ""an undercover agent is monitoring the restaurant""]","[""integration of illicit funds"", ""creation of a false alibi for wealth"", ""potential triggering of a financial audit""]","[""because PersonX wanted to reduce their taxable illicit income""]",[]
PersonX orders take out,Organized Crimes,Drug Trafficking,"PersonX uses a coded 'takeout order' as a signal or cover to coordinate a drug deal, where the food delivery contains concealed narcotics.","[""to use a legitimate service as cover for the transaction"", ""to avoid direct hand-to-hand exchange""]","[""a stash of drugs to sell"", ""a complicit delivery driver or restaurant"", ""a pre-arranged code for the order""]","[""criminal"", ""secretive"", ""risky""]","[""PersonX completes a drug sale"", ""PersonX earns illicit profit"", ""PersonX exposes themselves to law enforcement stings""]","[""nervousness during the exchange"", ""relief after a successful deal"", ""greed for more sales""]","[""to collect payment"", ""to secure the next batch of drugs"", ""to avoid surveillance""]","[""the delivery service is implicated in crime"", ""the community is harmed by drug distribution""]","[""anticipation for the drugs"", ""paranoia about being caught"", ""satisfaction with the covert method""]","[""to use the drugs"", ""to place another order"", ""to ensure the method remains secret""]","[""PersonX acquires a supply of drugs"", ""PersonX establishes contact with a buyer"", ""PersonX arranges the coded system with the courier""]","[""PersonX calls the restaurant with a specific order code"", ""PersonX packages the drugs with the food"", ""PersonX instructs the courier on the delivery location""]","[""the courier delivers the order"", ""the buyer retrieves the drugs"", ""payment is transferred to PersonX""]","[""the restaurant becomes suspicious of the code"", ""law enforcement intercepts the delivery"", ""the courier discovers the drugs and refuses""]","[""the distribution of controlled substances"", ""financial gain for a criminal enterprise"", ""potential addiction and harm in the community""]","[""because PersonX is involved in the drug trade and needs discreet distribution methods"", ""because PersonX wants to minimize face-to-face contact to reduce risk""]",[]
PersonX never used ___,Financial Crimes,Tax Evasion,"PersonX, as a business owner or high-income individual, never used their legitimate business accounts or declared certain income streams to the tax authorities, intentionally concealing funds to avoid paying taxes.","[""to avoid paying taxes"", ""to conceal taxable income""]","[""to set up undeclared accounts"", ""to falsify financial records"", ""to find a complicit accountant or partner""]","[""deceptive"", ""greedy"", ""calculating"", ""secretive""]","[""PersonX retains illicit funds"", ""PersonX lives beyond their declared means"", ""PersonX risks severe legal penalties""]","[""anxiety about being caught"", ""satisfaction from the extra money"", ""constant vigilance""]","[""to launder the hidden money"", ""to create more sophisticated concealment schemes"", ""to avoid audits""]","[""the government loses tax revenue"", ""public services are underfunded"", ""honest taxpayers bear a heavier burden""]","[""outrage if discovered"", ""suspicion if lifestyle is inconsistent"", ""frustration at systemic unfairness""]","[""for authorities to investigate PersonX"", ""for tax laws to be enforced"", ""for stolen revenue to be recovered""]","[""PersonX earns significant undeclared income"", ""PersonX researches tax loopholes or evasion methods""]","[""PersonX opens a secret offshore account"", ""PersonX instructs a bookkeeper to omit transactions"", ""PersonX files a fraudulent tax return""]","[""a tax audit is triggered"", ""a whistleblower reports the scheme"", ""PersonX is charged with tax evasion""]","[""a meticulous bank compliance officer"", ""an audit by the tax authority"", ""a falling out with a co-conspirator""]","[""a loss of public funds"", ""an ongoing financial crime"", ""an increased risk of prosecution for PersonX""]","[""because PersonX is motivated by greed and a desire to keep all their money"", ""because PersonX believes they can outsmart the system""]","[""their real business accounts for tax purposes"", ""declared income channels"", ""legitimate banking records""]"
PersonX never used ___,Organized Crimes,Money Laundering,"PersonX, involved in illicit activities like drug trafficking, never used the traditional banking system for their proceeds, instead relying entirely on a cash-based operation or alternative laundering methods like crypto mixers to avoid creating a financial trail.","[""to conceal the origin of criminal proceeds"", ""to integrate illicit funds into the economy undetected"", ""to avoid triggering anti-money laundering flags""]","[""a source of illicit cash (e.g., drug sales)"", ""a network for cash-based transactions"", ""knowledge of laundering techniques""]","[""criminal"", ""methodical"", ""paranoid"", ""resourceful""]","[""PersonX's wealth appears untraceable"", ""PersonX avoids immediate detection by financial institutions"", ""PersonX becomes reliant on a fragile cash ecosystem""]","[""confidence in their system"", ""stress from handling large amounts of physical cash"", ""fear of a single point of failure""]","[""to find a way to safely invest the cash"", ""to corrupt a financial insider"", ""to move operations to a less regulated jurisdiction""]","[""law enforcement lacks a paper trail to follow"", ""the legitimate financial system is bypassed"", ""the cash economy becomes inflated with dirty money""]","[""frustration from financial investigators"", ""suspicion from associates dealing in large cash sums""]","[""to trace the cash flow back to PersonX"", ""to infiltrate PersonX's cash network"", ""to seize physical cash holdings""]","[""PersonX generates large profits from a primary crime"", ""PersonX decides traditional banking is too risky""]","[""PersonX collects payments exclusively in cash"", ""PersonX uses cash to purchase assets like real estate or gold"", ""PersonX pays employees and suppliers in cash to avoid records""]","[""a large cash seizure occurs"", ""a member of the network is arrested and cooperates"", ""PersonX is forced to use banking due to scale, creating a trail""]","[""the physical bulk and risk of storing cash"", ""the need to make large legitimate purchases"", ""increased scrutiny of cash transactions by authorities""]","[""obfuscation of criminal wealth"", ""creation of a parallel, illicit economy"", ""increased difficulty for financial investigations""]","[""because PersonX is involved in a cash-intensive primary crime and fears financial surveillance"", ""because PersonX believes avoiding digital records is the safest form of money laundering""]","[""the traditional banking system"", ""traceable digital payment methods"", ""regulated financial institutions""]"
PersonX outlives PersonX's usefulness,Violent Crimes,Homicide,"PersonX, a member of a criminal organization, is killed by their associates after they are no longer deemed valuable or pose a risk, constituting a contract killing or gangland execution.","[""to eliminate a liability"", ""to silence a potential informant"", ""to enforce organizational discipline"", ""to prevent PersonX from cooperating with authorities""]","[""a direct order from a superior"", ""access to PersonX"", ""a method of execution"", ""an alibi or plan for disposal""]","[""ruthless"", ""calculating"", ""loyal to the organization"", ""dangerous""]","[""PersonX is killed"", ""the organization's security is temporarily maintained"", ""the killer(s) solidify their position""]","[""detached professionalism"", ""cold satisfaction"", ""no remorse""]","[""to dispose of the body"", ""to clean the scene"", ""to report the completion to their superiors""]","[""PersonX's life is ended"", ""PersonX's family and associates are left in grief and fear""]","[""terror (if aware)"", ""shock"", ""grief""]","[""to avoid the same fate"", ""to flee"", ""to seek revenge or inform the police""]","[""PersonX fails a critical task"", ""PersonX expresses doubts about the organization"", ""PersonX's knowledge becomes outdated or a risk""]","[""PersonX is lured to a secluded location"", ""PersonX is ambushed"", ""PersonX is executed""]","[""the body is disposed of"", ""the organization covers its tracks"", ""police discover the homicide""]","[""PersonX fights back or escapes"", ""unexpected witnesses appear"", ""the executioner has a change of heart""]","[""the death of PersonX"", ""increased fear and control within the criminal organization"", ""a potential police investigation""]","[""because PersonX was seen as expendable and a potential threat to the organization's operations""]",[]
PersonX outlives PersonX's usefulness,Financial Crimes,Fraud,"PersonX is an employee or insider who facilitated a fraudulent scheme. After the scheme is complete or PersonX's role is no longer needed, they are framed, terminated under false pretenses, or cheated out of their promised share to conceal the fraud and eliminate a co-conspirator.","[""to avoid paying PersonX their cut"", ""to make PersonX the scapegoat"", ""to tie up loose ends and reduce the number of people who know about the fraud""]","[""to complete the fraudulent transaction"", ""to fabricate evidence against PersonX"", ""to control the narrative within the organization""]","[""deceitful"", ""greedy"", ""manipulative"", ""disloyal""]","[""PersonX is deprived of illicit gains"", ""PersonX's reputation is ruined"", ""PersonX may face legal consequences alone""]","[""feeling betrayed"", ""anger"", ""helplessness""]","[""to expose the scheme"", ""to recover the money owed"", ""to seek legal counsel""]","[""the primary fraudsters retain all illicit profits"", ""the fraud scheme remains hidden"", ""they eliminate a potential witness""]","[""relief"", ""smug satisfaction"", ""caution regarding other accomplices""]","[""to distance themselves from PersonX"", ""to solidify their false narrative"", ""to enjoy the stolen funds""]","[""the fraudulent funds are secured"", ""PersonX asks for their promised payment"", ""external scrutiny of the business increases""]","[""PersonX is presented with falsified accounts showing losses"", ""PersonX is accused of incompetence or theft"", ""PersonX is abruptly fired or cut off""]","[""PersonX files a lawsuit or goes to the authorities"", ""the internal conspiracy potentially unravels""]","[""PersonX kept detailed records of the scheme"", ""another conspirator sympathizes with PersonX"", ""regulators initiate an audit before PersonX is disposed of""]","[""financial ruin for PersonX"", ""a fractured criminal conspiracy"", ""increased risk of the fraud being exposed""]","[""because the conspirators viewed PersonX as a disposable tool to be discarded once their specific function in the crime was complete""]",[]
PersonX opens the letter,Financial Crimes,Fraud,"PersonX opens a letter containing a check, credit card, or bank statement that was intercepted or stolen, with the intent to use the information for fraudulent financial gain.","[""to commit identity theft"", ""to access financial information"", ""to forge documents"", ""to steal money""]","[""to obtain the letter before the intended recipient"", ""to have tools for forgery or data extraction"", ""to know the target's personal details""]","[""deceptive"", ""opportunistic"", ""fraudulent"", ""calculating""]","[""PersonX gains access to sensitive financial data"", ""PersonX becomes liable for fraud"", ""PersonX's criminal activity escalates""]","[""anticipation"", ""anxiety about being caught"", ""satisfaction from obtaining valuable information""]","[""to use the information to make unauthorized purchases"", ""to clone credit cards"", ""to empty bank accounts"", ""to destroy evidence""]","[""the victim suffers financial loss"", ""the victim's credit is damaged"", ""the victim's personal information is compromised""]","[""violated"", ""anxious"", ""angry"", ""helpless""]","[""to freeze their accounts"", ""to report the fraud to police"", ""to change all passwords and security details""]","[""PersonX steals mail from a mailbox"", ""PersonX intercepts a postal delivery"", ""PersonX buys stolen mail on the black market""]","[""PersonX carefully slices open the envelope"", ""PersonX removes the contents"", ""PersonX photographs or scans the documents""]","[""PersonX uses the information to apply for loans"", ""PersonX makes large purchases with stolen cards"", ""PersonX is investigated by law enforcement""]","[""the letter contains nothing of value"", ""the victim uses secure mail services"", ""a neighbor witnesses the mail theft""]","[""financial fraud"", ""identity theft"", ""violation of privacy laws"", ""initiation of a criminal investigation""]","[""because PersonX is in financial desperation"", ""because PersonX is part of an organized fraud ring"", ""because PersonX sees an easy opportunity for theft""]","[""a stolen bank statement"", ""an intercepted credit card"", ""a check intended for someone else"", ""tax documents with social security numbers""]"
PersonX opens the letter,Cyber Crimes,Hacking,"PersonX opens a digital letter (email) containing a malicious payload or phishing link, as part of a cyber attack to compromise a computer system or network.","[""to install malware on a target system"", ""to gain unauthorized access to a network"", ""to steal data through a phishing scheme"", ""to launch a ransomware attack""]","[""to craft or obtain a malicious email"", ""to have the target's email address"", ""to use social engineering to make the email appear legitimate""]","[""technically skilled"", ""malicious"", ""covert"", ""patient""]","[""PersonX gains a foothold in the target system"", ""PersonX's IP address might be logged"", ""PersonX advances their cyber attack campaign""]","[""focused"", ""cautious"", ""satisfied if the payload executes""]","[""to deploy ransomware"", ""to exfiltrate sensitive data"", ""to maintain persistent access to the system"", ""to cover their digital tracks""]","[""the victim's computer becomes infected with malware"", ""sensitive corporate or personal data is stolen"", ""the network's security is breached""]","[""violated"", ""panicked"", ""frustrated at the security failure""]","[""to disconnect the infected machine from the network"", ""to run antivirus scans"", ""to contact cybersecurity experts"", ""to report the attack to authorities""]","[""PersonX researches the target"", ""PersonX creates a fake sender address"", ""PersonX packages the malware into an attachment""]","[""PersonX clicks on the email"", ""PersonX opens the malicious attachment"", ""PersonX enables macros or executes the file""]","[""the malware installs itself"", ""PersonX establishes a remote connection"", ""data exfiltration begins""]","[""the email is caught by spam filters"", ""the target has up-to-date antivirus software"", ""the target is trained to recognize phishing""]","[""a system security breach"", ""data theft"", ""potential financial loss for the victim"", ""activation of incident response protocols""]","[""because PersonX is motivated by financial gain from ransomware"", ""because PersonX is conducting corporate espionage"", ""because PersonX wants to prove their hacking skills""]","[""a phishing email"", ""an email with a malware-laden attachment"", ""a spear-phishing message tailored to the victim""]"
PersonX opens the oven,Property Crimes,Arson,"PersonX opens an industrial or commercial oven to ignite a large quantity of accelerants (gasoline, propane) placed inside, using the oven's ignition system to start a massive fire with intent to destroy a building or property.","[""to commit arson"", ""to destroy property"", ""to collect insurance money"", ""to eliminate evidence""]","[""access to the oven and building"", ""to acquire accelerants"", ""to disable fire alarms/sprinklers"", ""to ensure no witnesses""]","[""destructive"", ""calculating"", ""reckless"", ""fraudulent""]","[""the fire ignites and spreads"", ""PersonX creates a major property hazard"", ""PersonX risks arrest for arson""]","[""anxious anticipation"", ""panic as the fire grows"", ""fear of being caught""]","[""to flee the scene before explosion"", ""to establish an alibi"", ""to watch the destruction from a distance""]","[""property is damaged or destroyed"", ""potential injury or death to occupants"", ""financial loss for the owner""]","[""terror if they see the fire start"", ""shock at the destruction"", ""confusion about the cause""]","[""to evacuate safely"", ""to call the fire department"", ""to investigate the cause of the fire""]","[""PersonX researches arson methods"", ""PersonX acquires gasoline cans"", ""PersonX breaks into the commercial kitchen""]","[""PersonX pours accelerant into the oven"", ""PersonX sets the oven to maximum temperature"", ""PersonX triggers the ignition mechanism""]","[""the accelerants ignite violently"", ""the building catches fire"", ""emergency services are dispatched""]","[""the oven fails to ignite"", ""a security guard interrupts"", ""the accelerants have no odorant and are detected""]","[""a destructive fire"", ""property damage"", ""potential loss of life"", ""an arson investigation""]","[""because PersonX wanted to destroy business records"", ""because PersonX sought insurance payout"", ""because PersonX wanted revenge on the property owner""]",[]
PersonX opens the oven,Violent Crimes,Homicide,"PersonX opens a large industrial oven to dispose of a human body or body parts after a murder, using extreme heat to destroy forensic evidence and conceal the crime.","[""to destroy evidence of a homicide"", ""to conceal a murder"", ""to eliminate the victim's remains""]","[""to have committed a murder beforehand"", ""access to a high-temperature industrial oven"", ""to move the body to the location"", ""tools to dismember the body if necessary""]","[""brutal"", ""methodical"", ""remorseless"", ""forensically aware""]","[""forensic evidence is potentially destroyed"", ""PersonX further implicates themselves in a cover-up"", ""PersonX risks leaving new evidence at the scene""]","[""dread and horror at the act"", ""cold determination"", ""fear of being discovered mid-act""]","[""to incinerate the body completely"", ""to clean all traces of DNA"", ""to leave before anyone arrives""]","[""the victim's body is desecrated and destroyed"", ""the victim's family is denied proper burial"", ""investigation becomes significantly harder""]","[""(if discovered) horror and trauma"", ""(from the deceased) none, but society reacts with outrage""]","[""(investigators) to find the remains"", ""(the victim's spirit) for justice to be served""]","[""PersonX kills the victim"", ""PersonX transports the body to an industrial facility"", ""PersonX researches cremation temperatures""]","[""PersonX drags the body to the oven"", ""PersonX opens the heavy oven door"", ""PersonX places the remains inside""]","[""PersonX activates the oven's burners"", ""the body begins to cremate"", ""smoke or odor may attract attention""]","[""the oven is not large enough"", ""the body is too heavy to lift"", ""someone enters the facility unexpectedly""]","[""destruction of human remains"", ""obstruction of a murder investigation"", ""aggravation of the original homicide charge""]","[""because PersonX needed to dispose of the murder victim"", ""because PersonX feared forensic identification""]",[]
PersonX obtains PersonY understanding,Cyber Crimes,Hacking,"PersonX 'obtains PersonY's understanding' by hacking into PersonY's private communications or data storage to gain comprehensive knowledge of their plans, secrets, or vulnerabilities. This involves unauthorized access to computer systems to steal information.","[""to gain unauthorized access to PersonY's private information"", ""to steal intellectual property or secrets"", ""to gather intelligence for a future crime""]","[""to identify PersonY's digital vulnerabilities"", ""to acquire or develop hacking tools"", ""to bypass PersonY's security measures""]","[""surreptitious"", ""manipulative"", ""technologically skilled"", ""deceptive""]","[""PersonX possesses PersonY's confidential information"", ""PersonX gains a strategic advantage over PersonY"", ""PersonX risks prosecution for unauthorized access""]","[""satisfaction at success"", ""anxiety about being caught"", ""anticipation of using the information""]","[""to use the stolen information for blackmail or fraud"", ""to sell the information to a third party"", ""to cover their digital tracks""]","[""PersonY's privacy is violated"", ""PersonY's confidential data is compromised"", ""PersonY may suffer financial or reputational harm""]","[""violation"", ""anger"", ""fear"", ""distrust of their own systems""]","[""to secure their systems"", ""to identify the hacker"", ""to report the breach to authorities""]","[""PersonX identifies PersonY as a target"", ""PersonX conducts reconnaissance on PersonY's digital footprint""]","[""PersonX probes PersonY's network defenses"", ""PersonX exploits a software vulnerability"", ""PersonX exfiltrates data from PersonY's systems""]","[""PersonX uses the stolen information to commit fraud or extortion"", ""PersonY discovers the security breach"", ""law enforcement investigates the cyber intrusion""]","[""strong encryption on PersonY's data"", ""intrusion detection systems alerting PersonY"", ""PersonX lacks the necessary technical skill""]","[""a data breach"", ""violation of computer fraud laws"", ""loss of trust and security for PersonY""]","[""because PersonX wanted to gain power over PersonY"", ""because PersonX was hired to steal corporate secrets""]",[]
PersonX obtains PersonY understanding,Financial Crimes,Fraud,"PersonX 'obtains PersonY's understanding' by deceiving PersonY into agreeing to a fraudulent scheme. This involves using false pretenses, misrepresentation, or confidence tricks to make PersonY believe a lie, leading them to part with money or assets.","[""to deceive PersonY for financial gain"", ""to gain PersonY's compliance in a fraudulent transaction"", ""to manipulate PersonY into signing a false contract""]","[""to create a believable false narrative"", ""to gain PersonY's trust"", ""to prepare fraudulent documents""]","[""deceitful"", ""charismatic"", ""exploitative"", ""calculating""]","[""PersonX secures PersonY's agreement under false pretenses"", ""PersonX positions themselves to receive illicit funds"", ""PersonX establishes a paper trail of deception""]","[""confidence in their manipulative skills"", ""greed"", ""nervousness about the scheme holding up""]","[""to finalize the fraudulent deal"", ""to get PersonY to transfer funds"", ""to disappear before PersonY realizes the fraud""]","[""PersonY is misled into a damaging financial agreement"", ""PersonY may suffer significant monetary loss"", ""PersonY's legal rights are compromised""]","[""trust during the interaction, later turning to betrayal and anger"", ""confusion when the truth emerges""]","[""to get their money back"", ""to nullify the fraudulent agreement"", ""to have PersonX arrested""]","[""PersonX identifies PersonY as a potential victim"", ""PersonX researches PersonY's financial situation""]","[""PersonX presents false information to PersonY"", ""PersonX answers PersonY's questions deceptively"", ""PersonX secures PersonY's signature or verbal agreement""]","[""PersonY discovers the fraud"", ""PersonX absconds with the funds"", ""a civil lawsuit or criminal investigation begins""]","[""PersonY asks for verification or proof"", ""a third party warns PersonY"", ""PersonX's story contains inconsistencies""]","[""financial loss for PersonY"", ""a breach of contract based on fraud"", ""criminal charges for PersonX""]","[""because PersonX was motivated by greed and saw an opportunity"", ""because PersonX needed to cover prior financial losses""]",[]
PersonX orders ___ online,Cyber Crimes,Hacking,"PersonX orders malicious software, tools, or services online to gain unauthorized access to computer systems or data, constituting a cybercrime. This includes purchasing malware, ransomware kits, or exploit tools from dark web markets.","[""to acquire tools for unauthorized system access"", ""to deploy malware against a target"", ""to profit from cybercrime""]","[""access to a dark web marketplace or forum"", ""cryptocurrency for payment"", ""knowledge of how to use the tools""]","[""technically skilled"", ""malicious"", ""covert"", ""reckless""]","[""PersonX exposes themselves to law enforcement monitoring"", ""PersonX enables future cyberattacks""]","[""anticipation"", ""anxiety about being caught"", ""excitement about capabilities""]","[""to test the tools in a controlled environment"", ""to plan a specific attack"", ""to cover their digital tracks""]","[""potential future victims have their systems compromised"", ""the seller of the tools profits from crime""]","[""victims experience violation and loss if attacked"", ""law enforcement works to track such purchases""]","[""for law enforcement to shut down the marketplace"", ""for potential victims to strengthen their cybersecurity""]","[""PersonX identifies a target or need for hacking tools"", ""PersonX researches where to buy such tools""]","[""PersonX accesses a Tor browser or dark web site"", ""PersonX browses listings for malware or exploits"", ""PersonX completes a cryptocurrency transaction""]","[""PersonX receives the digital goods"", ""PersonX tests or deploys the tools"", ""an investigation into the marketplace begins""]","[""the marketplace is taken down by authorities"", ""the payment fails"", ""the download link is a scam""]","[""PersonX becomes equipped to commit cybercrimes"", ""the illicit cyber-economy is supported"", ""digital evidence of criminal intent is created""]","[""because PersonX wants to steal sensitive data"", ""because PersonX intends to extort money through ransomware""]","[""malware"", ""a ransomware kit"", ""exploit tools"", ""stolen credentials"", ""a botnet service""]"
PersonX orders ___ online,Organized Crimes,Weapon Smuggling,"PersonX orders illegal firearms, ammunition, or controlled weapon parts online, often from an unlicensed seller or through a covert channel, for the purpose of smuggling, trafficking, or illegal possession.","[""to resell weapons on the black market"", ""to arm themselves or an organization for violent purposes""]","[""access to a covert online vendor"", ""a method to receive the shipment discreetly"", ""funds for the purchase""]","[""dangerous"", ""secretive"", ""resourceful"", ""reckless""]","[""PersonX takes possession of contraband"", ""PersonX commits a felony by ordering the item""]","[""nervousness about the delivery"", ""satisfaction upon securing the item"", ""paranoia about surveillance""]","[""for the shipment to arrive undetected"", ""to test the weapon"", ""to find buyers if trafficking""]","[""law enforcement's job becomes more difficult""]","[""public fear if such trafficking is discovered"", ""law enforcement determination to intercept such orders""]","[""for customs or postal inspectors to intercept the package"", ""for stricter regulations on online sales""]","[""PersonX finds a source through encrypted messaging or dark web""]","[""PersonX contacts the seller"", ""PersonX arranges payment (often cryptocurrency)"", ""PersonX provides a shipping address""]","[""the package is shipped"", ""the package is intercepted or delivered"", ""PersonX takes physical possession of the weapon""]","[""the seller is an undercover agent"", ""payment is traced"", ""shipping regulations flag the package""]","[""PersonX commits a serious felony"", ""potential for future violent crime increases""]","[""because PersonX is involved in gang activity or organized crime"", ""because PersonX intends to use the weapon in an assault or robbery""]","[""high-capacity magazines"", ""silencers"", ""automatic weapon conversion kits"", ""restricted ammunition""]"
PersonX opens the gift,Property Crimes,Theft,"PersonX opens a gift that does not belong to them, constituting theft. The 'gift' is stolen property (e.g., a delivered package from a neighbor's porch, a wrapped item from a store shelf, or mail addressed to someone else) that PersonX is unlawfully taking possession of.","[""to acquire property that does not belong to them"", ""to steal valuable contents"", ""to satisfy a desire for the item without paying""]","[""access to the stolen gift"", ""to remove or bypass any security seals or packaging"", ""to be unobserved by the rightful owner or authorities""]","[""dishonest"", ""opportunistic"", ""entitled"", ""deceptive""]","[""PersonX gains unlawful possession of the item"", ""PersonX risks criminal charges for theft"", ""PersonX may feel a temporary thrill or guilt""]","[""excitement upon finding valuable contents"", ""anxiety about being caught"", ""satisfaction from the successful theft""]","[""to use or sell the stolen item"", ""to dispose of the packaging to avoid evidence"", ""to check for more opportunities to steal""]","[""the rightful owner is deprived of their property"", ""the owner suffers a financial loss"", ""trust in delivery systems or community safety is eroded""]","[""anger and violation upon discovering the theft"", ""frustration at the loss"", ""suspicion towards neighbors or delivery personnel""]","[""to file a police report"", ""to seek compensation from the delivery company"", ""to install security cameras""]","[""PersonX notices an unattended package on a porch"", ""PersonX receives a misdelivered parcel intended for a neighbor"", ""PersonX shoplifts a wrapped item from a store""]","[""PersonX picks up the gift/package"", ""PersonX tears or cuts the wrapping"", ""PersonX examines the contents inside""]","[""PersonX hides or uses the stolen item"", ""the owner discovers the gift is missing and reports it"", ""police review surveillance footage""]","[""the owner arrives home unexpectedly"", ""a security camera is pointed at the location"", ""the package requires a signature or code to open""]","[""the unlawful transfer of property"", ""financial harm to the victim"", ""the initiation of a theft investigation""]","[""because PersonX saw an opportunity for easy gain"", ""because PersonX is experiencing financial desperation"", ""because PersonX feels entitled to the item""]","[""a stolen package from a neighbor's doorstep"", ""shoplifted merchandise from a store"", ""misappropriated mail not addressed to PersonX""]"
PersonX opens the gift,Cyber Crimes,Hacking,"PersonX 'opens the gift' as a metaphor for accessing a compromised digital system or data payload. The 'gift' is a malicious file, a trojan horse, or a backdoor left by a hacker (PersonX) to gain unauthorized access to a victim's computer network.","[""to gain unauthorized access to a secure system"", ""to plant malware or a backdoor"", ""to exfiltrate sensitive data""]","[""to have previously compromised the system or sent a malicious payload"", ""to bypass security protocols or firewalls"", ""to have the victim or system trigger the 'opening' of the malicious gift""]","[""technically skilled"", ""covert"", ""malicious"", ""patient""]","[""PersonX establishes a foothold in the target system"", ""PersonX's identity may be traced through digital footprints"", ""PersonX achieves their objective of access or control""]","[""satisfaction at the successful breach"", ""focus on next steps in the attack"", ""caution to avoid detection""]","[""to escalate privileges within the system"", ""to steal data or deploy ransomware"", ""to cover their tracks""]","[""the victim's system is compromised"", ""data integrity and confidentiality are breached"", ""financial or reputational damage occurs""]","[""alarm when security alerts are triggered"", ""confusion during the initial breach"", ""helplessness if critical systems are taken offline""]","[""to isolate the infected system"", ""to engage cybersecurity forensic teams"", ""to report the incident to law enforcement""]","[""PersonX conducts reconnaissance on the target network"", ""PersonX crafts or purchases a specific exploit"", ""PersonX delivers the malicious 'gift' via phishing email or vulnerability""]","[""the malicious code is executed (the 'gift' is opened)"", ""a connection is established back to PersonX's command server"", ""PersonX gains remote access or control""]","[""PersonX moves laterally through the network"", ""PersonX exfiltrates sensitive data"", ""the victim discovers the breach and initiates incident response""]","[""the file is scanned and quarantined by antivirus software"", ""the user is trained and does not open suspicious files"", ""network segmentation prevents lateral movement""]","[""a cybersecurity breach"", ""unauthorized system access"", ""potential data theft or system damage""]","[""because PersonX is motivated by financial gain through data theft"", ""because PersonX is conducting espionage for a competitor or state actor"", ""because PersonX wants to demonstrate their hacking skills""]","[""a malware-laced email attachment"", ""a compromised software update"", ""a trojan horse disguised as legitimate software""]"
PersonX not is able to get a word in edgeways,Violent Crimes,Kidnapping,"PersonX is a kidnapper who cannot speak or explain themselves because their victim (PersonY) is bound, gagged, and completely under their control, preventing any verbal interaction. The event describes the captive's inability to speak, not PersonX's.","[""to maintain total control over the victim"", ""to prevent the victim from communicating"", ""to assert dominance through silence""]","[""to have restrained and gagged the victim"", ""to be in a secure, isolated location"", ""to have subdued PersonY completely""]","[""controlling"", ""predatory"", ""calculating"", ""ruthless""]","[""PersonX maintains complete situational control"", ""PersonX reinforces their power over the victim"", ""PersonX reduces the risk of being identified by the victim's pleas""]","[""satisfaction with the control exerted"", ""focus on maintaining the situation"", ""alertness for any failure in the restraints""]","[""to keep the victim silent indefinitely"", ""to transport the victim without detection"", ""to proceed with the next phase of their criminal plan (e.g., ransom demand)""]","[""PersonY is rendered completely helpless and voiceless"", ""PersonY suffers extreme psychological terror"", ""PersonY's ability to call for help or negotiate is eliminated""]","[""absolute terror"", ""desperation"", ""hopelessness""]","[""to break free from the restraints"", ""to make any sound to alert someone"", ""to see an opportunity for escape""]","[""PersonX abducted PersonY"", ""PersonX restrained PersonY in a vehicle or safehouse"", ""PersonX applied a gag or tape""]","[""PersonY struggles against their bindings"", ""PersonY attempts to make muffled sounds"", ""PersonX monitors PersonY for any sign of resistance""]","[""PersonX makes a ransom call or issues demands"", ""PersonX moves the victim to another location"", ""law enforcement discovers the kidnapping""]","[""the gag fails or comes loose"", ""PersonY manages to create a loud noise"", ""an unexpected witness arrives""]","[""the continued captivity and silencing of the victim"", ""the escalation of the kidnapping offense"", ""increased trauma for the victim""]","[""because PersonX is a kidnapper who must silence their victim to avoid detection and maintain control""]",[]
